Species,d13C,d15N
E. pullata,-31.41,6.41
E. pullata,-31.9,7.25
E. pullata,-31.28,7.27
E. pullata,-31.73,7.76
E. pullata,-31.3,7.65
E. pullata,-31.2,6.79
E. pullata,-31.51,7.79
E. pullata,-31.68,7.46
E. pullata,-31.52,7.47
E. pullata,-31.66,6.98
E. pullata,-31.94,7.39
E. pullata,-31.12,7.25
E. pullata,-31.31,7.84
E. pullata,-31.64,7.23
E. pullata,-31.35,7.37
A. hartfieldorum ,-30.73,6.93
A. hartfieldorum ,-30.52,6.92
A. hartfieldorum ,-30.57,6.94
A. hartfieldorum ,-30.93,7.09
A. hartfieldorum ,-30.64,7.26
A. hartfieldorum ,-31.77,8.52
A. hartfieldorum ,-32.03,8.69
A. hartfieldorum ,-32.19,7.89
A. hartfieldorum ,-31.84,7.32
A. hartfieldorum ,-32.3,7.67
A. hartfieldorum ,-30.48,7.05
A. hartfieldorum ,-31.1,6.84
F. escambia,-32.15,7.4
F. escambia,-31.81,7.72
F. escambia,-32.03,7.3
F. escambia,-31.88,7.18
F. escambia,-32.04,7.31
F. escambia,-31.42,7.09
F. escambia,-31.38,8.05
F. escambia,-31,8.7
F. escambia,-31.72,8.65
F. escambia,-31.42,8
F. escambia,-31.09,8.05
F. escambia,-31.5,7.36
F. escambia,-31.09,8.54
E. pullata,-31.03,7.81
E. pullata,-31.14,8
E. pullata,-31.43,7.42
E. pullata,-31.34,7.93
E. pullata,-30.92,7.73
E. pullata,-30.96,8.13
E. pullata,-30.67,7.26
E. pullata,-30.97,7.84
E. pullata,-31.52,8.07
E. pullata,-31.38,7.87
E. pullata,-31.88,8.01
E. pullata,-31.33,7.55