Source,Meand13C,SDd13C,Meand15N,SDd15N,n
epilimnion.SPOM,-18.63,1.939166488,5.157142857,0.687233931,7
hypolimnion.SPOM,-23.66714286,2.897014062,3.595714286,1.844323337,7
limnetic.FPOM,-28.785,0.149097284,4.355,0.37238421,6
littoral.benthic.FPOM,-28.25666667,0.762714451,2.256666667,0.619784909,3
littoral.CPOM,-28.76666667,0.999049548,2.75,3.135291055,9
littoral.FPOM,-26.792,0.874110977,6.09,1.632651218,5
littoral.FPOM.attached,-25.68,1.135385397,4.1,0.703775532,3
littoral.FPOM.filamentous,-22.56166667,2.420581886,4.438333333,0.436871453,6
littoral.SPOM,-21.17875,1.698448346,5.3175,2.457604815,8
littoral.veg,-25.285,7.643824305,5.11,0.45254834,2